[18:46:53] NetworkManager initialized
[18:46:56] [Info] Found PlayerObject in scene
[18:46:56] [Client] Connecting to server 127.0.0.1:5000
[18:46:56] [Client] Successfully connected to server
[18:46:56] [Thread] Network thread started
[18:46:56] [ProcessPacket] Starting to process packet type: 2
[18:46:56] [Spawn] Processing spawn packet for ID: 1
[18:46:56] [Spawn] Set my client ID to: 1
[18:46:56] [ProcessPacket] Finished processing packet type: 2
[18:47:06] [Error] Receive failed: 10054
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:06] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Receive failed: 10054
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:07] [Error] Failed to send update packet
[18:47:08] [Thread] Network thread ended normally
