[16:46:44] NetworkManager initialized
[16:46:46] [Info] Found PlayerObject in scene
[16:46:46] [Client] Connecting to server 127.0.0.1:5000
[16:46:46] [Client] Successfully connected to server
[16:46:46] [Thread] Network thread started
[16:46:46] [ProcessPacket] Starting to process packet type: 2
[16:46:46] [Spawn] Processing spawn packet for ID: 1
[16:46:46] [Spawn] Set my client ID to: 1
[16:46:46] [ProcessPacket] Finished processing packet type: 2
[16:47:05] [Error] Receive failed: 10054
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:05] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Receive failed: 10054
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:06] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Receive failed: 10054
[16:47:07] [Critical] Too many receive errors, closing connection
[16:47:07] [Thread] Network thread ended normally
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:07] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
[16:47:08] [Error] Failed to send update packet
